Exporter Name,transaction_count,years_active,months_active,countries_served,drug_substances_shipped,sku_variants_shipped,total_fob_inr,city,exporter_address,avg_monthly_shipments,reliability_score
LINCOLN PHARMACEUTICALS LTD,4057,2,20,45,109,3770,5740951348.376081,"AHMEDABAD ,GUJARAT ","LINCOLN HOUSE, B/H SATYAM COMPLEX,SCIENCE CITY ROAD, SOLA,",202.85,78.9
INVENTIA HEALTHCARE LIMITED,2202,2,20,35,24,1447,5575953212.652892,MUMBAI ,"UNIT NO.703 704,7TH FLOOR,HUBTOWN SOLARIS,N.S. PHADKE MARG,ANDHERI(E)",110.1,77.2
MILAN LABORATORIES (INDIA) PRIVATE LIMITED,2032,2,20,49,48,1767,5568393091.458941,"THANE ,MAHARASHTRA ","A-5, MEGH MALHAR, GAVAND PATH, NAUPADA,",101.6,77.4
BIOCON PHARMA LIMITED,993,2,20,9,4,521,5309001003.146257,BANGALORE ,"20TH KM, HOSUR ROAD, ELECTRONIC CITY PO,",49.65,69.7
AVET LIFESCIENCES PRIVATE LIMITED,525,2,20,1,4,328,5243689153.04,BHOSARI,"T-184, M.I.D.C. BHOSARI, PUNE 411026NULL",26.25,78.5
PANACEA BIOTEC LIMITED,300,2,20,64,1,132,5169284388.03,NEW DELHI ,"B-1, EXTN, G-3, MOHAN CO-OPERATIVE INDUSTRIAL ESTATE, MATHURA ROAD",15.0,59.0
SRI KRISHNA PHARMACEUTICALS LIMITED,1044,2,20,32,15,856,5141124183.83,"HYDERABAD, ANDHRA PRADESH ","C-4, INDUSTRIAL AREA UPPAL",52.2,78.9
NATCO PHARMA LIMITED,1072,2,20,39,18,1012,5103690397.825495,"HYDERABAD, A.P. ","NATCO HOUSE, ROAD NO.2, BANJARA HILLS,",53.6,68.2
JUBILANT GENERICS LIMITED,1664,2,20,43,22,1276,4982087445.681805,NOIDA U.P. ,"PLOT NO. 1A, SECTOR 16A, INSTITUTIONAL AREA",83.2,69.7
APOTEX RESEARCH PRIVATE LIMITED,1511,2,20,11,18,1338,4900523235.234676,"ANEKAL TALUK,BANGALORE ","SITE NO.1,BOMMASANDRA INDL.AREA,IV PHASE,JIGANI LINK ROAD,JIGANI HOBLI",75.55,79.8
MEDOPHARM,2769,2,20,75,60,1751,4825672592.060364,"CHENNAI, TAMILNADU ","25, 2ND PULIYUR MAIN ROAD, TRUSTPURAM, KODAMBAKKAM,",138.45,82.2
KUSUM HEALTHCARE PRIVATE LIMITED,3193,2,20,17,36,2838,4817993071.628243,NEW DELHI ,"D-158-A,OKHLA INDUSTRIAL AREA, PHASE-1,",159.65,82.1
SUPRIYA LIFESCIENCE LIMITED,408,2,20,38,1,116,4738321891.11,"MUMBAI ,MAHARASHTRA ","207/208,UDYOG BHAVAN,SONAWALA ROAD,GOREGAON,(EAST)",20.4,70.9
LABORATE PHARMACEUTICALS INDIA LTD,3328,2,20,39,98,3068,4590247134.16,PANIPAT ,"E-11,INDUSTRIAL AREA",166.4,70.7
KOPRAN LIMITED,1837,2,20,30,39,673,4549271123.260156,"MUMBAI ,MAHARASHTRA ","PARIJAT HOUSE, 1076, DR. E. MOSES ROAD,WORLI",91.85,71.0
CIRON DRUGS AND PHARMACEUTICALS PRIVATE LIMITED,3889,2,20,87,98,3208,4439360213.532539,"MUMBAI ,MAHARASHTRA ","GROUND FLOOR,1ST PRABHAT NAGAR JOGESHWARI(W)",194.45,81.6
BRAWN LABORATORIES LIMITED,2174,2,20,50,101,1806,4239230248.7591233,NEW DELHI ,"C-64, LAJPAT NAGAR, PART-I",108.7,72.6
INDIAN IMMUNOLOGICALS LIMITED,459,2,20,40,4,270,4081044006.204849,HYDERABAD ,"ROAD.NO.44, JUBILEE HILLS",22.95,73.8
CENTAUR PHARMACEUTICALS PRIVATE LIMITED,3551,2,20,49,28,2757,3915159107.230141,"MUMBAI ,MAHARASHTRA ","CENTAUR HOUSE, SHANTI NAGAR, VAKOLA, SANTACRUZ (E),",177.55,78.4
SWISS PARENTERALS LIMITED,1648,2,20,83,75,1492,3906508703.8865237,"GARDEN SATELLITE, AHMEDABAD-GUJARAT","304, SAMAAN-II, OPP. RELIANCE PETROL PUMP, NR.PRAHLAD NAGAR",82.4,69.9
GRACURE PHARMACEUTICALS LIMITED,1997,2,20,25,49,1637,3857022992.67677,NEW DELHI ,"251-254,IIND FLOOR, DLF TOWER 15, SHIVAJI MARG",99.85,80.2
FOURRTS (INDIA) LABORATORIES PRIVATE LIMITED,2473,2,20,46,60,1807,3849152009.9316397,CHENNAI ,"PLOT NOI.1 FOURTS AVENUE ANNAI INDIRANAGAR, OKKIYAM, THORAIP",123.65,70.0
FLAMINGO PHARMACEUTICALS LIMITED,2559,2,20,24,74,969,3821680499.3430758,MUMBAI ,"7/1,CORPORATE PARK,SION-TROMBAY ROAD,CHEMBUR,MUMBAI.",127.95,73.3
CAPLIN STERILES LIMITED,792,2,20,13,5,387,3810463217.3,"CHENNAI,TAMIL NADU ","NARBAVI NO3 LAKSHMANAN STREET,,T.N AGAR",39.6,56.5
COHANCE LIFESCIENCES LIMITED,835,2,20,34,12,479,3700099215.48,Hyderabad,"PLOT NO. 26 & 27, TECHNOCRAT INDUSTRIAL ESTATE (TIE)BALANAGAR, HYDERABAD",41.75,73.6
UMEDICA LABORATORIES PRIVATE LIMITED,1658,2,20,57,46,852,3695041547.129492,GUJARAT ,"PLOT NO. 221, G.I.D.C., V A P I,",82.9,77.8
ASPIRO PHARMA LIMITED,760,2,20,34,14,295,3654505148.6150494,"HYDERABAD, AP. ","HETERO HOUSE, H NO.8-3-166/7/1, ERRAGADDA,",38.0,71.8
AGIO PHARMACEUTICALS LIMITED,1619,2,20,26,58,797,3578622582.5735316,MUMBAI ,"A-38, NANDJYOT IND. EST KURLA ANDHERI RD., SAFEDPOOL",80.95,77.6
STALLION LABORATORIES PVT LTD,2470,2,20,61,103,2070,3498757321.4533744,"AHMEDABAD ,GUJ ",817 DEVPATH BESIDE LAL BUNGLOW OFF C.G. RD. ELLISBRIDGE,123.5,69.2
RONAK EXIM PRIVATE LTD,3741,2,20,26,50,2361,3433366085.195585,BARODA ,SANT KABIR ROAD NR.GENDI GATE,187.05,69.0
MEPRO PHARMACEUTICALS PRIVATE LIMITED,1662,2,20,49,52,1485,3371567244.1976056,DIST.SURENDRANAGAR/GUJARAT ,"1003-GIDC, WADHWAN,",83.1,82.2
STERIL-GENE LIFE SCIENCES PRIVATE LIMITED,1327,2,20,59,31,796,3324750188.049985,CHENNAI ,"NO.18,DR NAIR ROAD, T NAGAR,",66.35,76.1
SYNCOM FORMULATIONS (INDIA) LIMITED,5098,2,20,29,72,2044,3308588735.422915,MUMBAI MAHARASHTRA ,"7,NIRAJ INDUSTRIAL ESTATE, OFF MAHAKALI CAVES RD,ANDHERI",254.9,80.5
MEDWISE OVERSEAS PRIVATE LIMITED,1835,2,20,20,136,1467,3287735313.9655795,"S.G. HIGH WAY,AHMEDABAD, GUJARAT. ","A-202, 2ND FLOOR, MONDEAL SQUARE BLDG,VEJALPUR:OPP:KARANAVATI CLUB,",91.75,59.6
QUALIGENS PHARMA PRIVATE LIMITED,973,2,20,4,24,220,3233428150.419126,MAHARASHTRA ,"204, ANAND ESTATES, 189, ARTHUR ROAD, CHINCKPOKLI, MUMBAI,",48.65,81.2
FDC LIMITED,3085,2,20,49,14,1380,3150168049.0123115,"MUMBAI, MAHARASHTRA ","142-48 S.V.ROAD, JOGESHWARI(W)",154.25,75.4
OLIVE HEALTH CARE,528,2,20,31,11,343,3148485338.8395376,SION-E .MUMBAI MAHARASHTRA ,"GODREJ COLISUEM,SOMAIYA HOSPITAL RDB WING,2ND FL,OFFICE NO.3,",26.4,77.2
AET LABORATORIES PRIVATE LIMITED,383,2,20,19,3,272,3129290021.362986,"HYDERABAD, A.P. ","802, BLOCK-A, ALPINE HEIGHTS GULMOHAR AVENUE, SOMAJIGUDA",19.15,60.2
SOMERSET THERAPEUTICS LIMITED,1111,2,20,3,8,545,3118638604.57,"BANGALORE, KARNATAKA ","REGD. OFFICE: NO. 16/2, O.V.H.ROAD, BASAVANGUDI",55.55,80.2
SANOFI HEALTHCARE INDIA PRIVATE LIMITED,1524,2,20,21,1,307,3111938368.414769,"HYDERABAD, AP ","3RD 4TH FLOORS, H.NO. 5-10-173 FATEH MAIDAN ROAD, BASHEERBAGH",76.2,59.6
CHANDRA BHAGAT PHARMA LIMITED,5088,2,20,28,40,3580,3089169936.2932982,MUMBAI. MAHARASHTRA ,"BHAGAT BHUVAN, 323-F, DR.AMBEDKAR ROAD,MATUNGA-EAST",254.4,54.1
ASHISH LIFE SCIENCE PRIVATE LIMITED,3166,2,20,56,18,821,3041589014.8835077,"MUMBAI, MAHARASHTRA ","213, LAXMI PLAZA, LAXMI INDL. ESTATE,NEW LINK ROAD,ANDHERI (W),",158.3,72.0
HIMALAYA WELLNESS COMPANY,9988,2,20,78,5,2458,3034359288.9906907,KARNATAKA ,"MAKALI, BANGALORE,",499.4,77.4
BHARAT PARENTERALS LIMITED,1672,2,20,29,77,736,3011399220.6402717,"DIST.VADODARA, GUJARAT ","SURVEY NO.144 146, VILLAGE HARIPURA, TAL. SAVLI,",83.6,51.0
STERISCIENCE SPECIALTIES PRIVATE LIMITED,618,2,20,8,11,551,2967624077.9526234,BENGALURU,"PLOT NO.30, GALAXY ,1ST MAIN ROAD, J.P. NAGAR, THIRD PHASE,",30.9,72.3
GLOBELA PHARMA PRIVATE LIMITED,1800,2,20,39,78,1366,2829852650.92915,SURAT/GUJARAT ,"357, G.I.D.C. SACHIN ROAD NO.3,",90.0,75.4
PINNACLE LIFE SCIENCE PRIVATE LIMITED,1012,2,20,24,36,825,2802972044.2778554,,"VILLAGE MANPURA, TEHSIL BADDI,",50.6,76.6
ACULIFE HEALTHCARE PRIVATE LIMITED,1662,2,20,60,15,470,2785112215.96,"AHMEDABAD, GUJARAT. INDIA. ","COMMERCE HOUSE V,BESIDES VODAFONE HOUSE,PRAHLADNAGAR,CORPORATE RD,",83.1,78.3
ELYSIUM PHARMACEUTICALS LTD,459,2,20,2,5,305,2739736550.88,DIST. BARODA ,"PLOT NO. 1175, AT POST DABHASA TAL. PADRA",22.95,68.3
S.D.PHARMACEUTICALS,1722,2,20,20,107,1445,2730217201.534746,"VIKAS PURI NEW DELHI,DELHI ","SHOP NO.32 GF, ANSAL MAJESTIC TOWE R,PLOT NO17G-BLOCK COMMERCIAL COMPL",86.1,69.5
KWALITY PHARMACEUTICALS LIMITED,4854,2,20,77,158,3297,2721633175.7166643,"AMRITSAR,PUNJAB ","VILLAGE NAG KALAN,MAJITHA ROAD,MAJ ITHA",242.7,76.9
SAGA LIFESCIENCES LIMITED,1684,2,20,51,85,1377,2699193750.6160483,"TALUKA SANAND AHMEDABAD,GUJARAT ","SURVEY NO198/2 &AMP; 198/3,CHANCHARWAD I VASNA",84.2,75.9
THEON PHARMACEUTICALS LIMITED,2281,2,20,23,46,1482,2670117079.711777,CHANDIGARH. ,"HOUSE NO. 50, SECTOR-28-A,",114.05,84.7
PANACEA BIOTEC PHARMA LIMITED,864,2,20,43,12,592,2660003850.0041394,"NEW DELHI,DELHI ","B-1 EXTN. A/27, MOHAN CO-OPERATIVE ,INDUSTRIAL ESTATE, MATHURA ROAD,",43.2,76.2
APEX LABORATORIES PRIVATE LIMITED,761,2,20,24,9,574,2623638490.847891,"CHENNAI, TAMIL NADU ","76, C.P.RAMASAMY ROAD, ALWARPET,",38.05,68.2
MAIVA PHARMA PRIVATE LIMITED,605,2,20,15,8,327,2584850374.656517,"BANGALORE , KARNATAKA ","1/5, SANTOSH COMPLEX, ARMUGAM CIRCLE, BASAVANGUDI,",30.25,66.7
PRG PHARMA PRIVATE LIMITED,977,2,19,2,5,138,2558762833.98,"CHANDIGARH,CHANDIGARH ","SCF 444 FIRST FLOOR,MOTOR MARKET M ANIMAJRA",51.42,52.4
BIOMATRIX HEALTHCARE PRIVATE LIMITED,1997,2,20,15,74,1246,2518393049.6,"N.R.ESTATE,AMRAIWADI, AHMEDABAD ","SHED NO. 26, BHAGIRATH IND.ESTATE, VIBHAG-IV, OPP- JAVAHAR NAGAR,NR.",99.85,73.8
SAVA HEALTHCARE LIMITED,45254,2,20,24,184,3237,2499188615.183363,SOC.OFF AIRPORT RD.VIMANNAGAR PUNE/,OFFICE NO.2 LALWANI PLAZA WING-B PLOT NO.57/58 SAKORENAGAR CO.OP.HSG,2262.7,81.5
ARISTO PHARMACEUTICALS PRIVATE LIMITED,5548,2,20,24,36,2583,2485168520.495936,"MUMBAI,MAHARASHTRA ","3RD FLOOR,MERCANTILE CHAMBERS 12 J.N.HEREDIA MARG,BALLARD ESTATE",277.4,83.9
MEDICO REMEDIES LIMITED,1880,2,20,30,93,1537,2434051795.229969,"JUHU, MUMBAI,MAHARASHTRA ","50, JUHU SUPREME SHOPPING CENTRE,GULMOHAR CROSS ROAD NO. 9,",94.0,75.7
MEDLEY PHARMACEUTICALS LIMITED,3708,2,20,24,35,2567,2408587101.227537,MUMBAI ,"MEDLEY HOUSE,D-2,MIDC AREA 16TH RD., ANDHERI (E)",185.4,83.6
UNOSOURCE PHARMA LIMITED,2698,2,20,40,60,1826,2396957085.372532,DELHI ,305 THIRD FLOOR C -BLOCK PLOT NO.5 MOHAN PLACE SARASWATI VIHAR,134.9,80.1
SAVORITE PHARMACEUTICALS PRIVATE LIMITED,2705,2,20,36,103,1827,2392710750.5386786,VADODARA,703 ATLANTIS HEIGHTSVADIWADI SARABHAI COMPOUND CONTACT NO: 918905872949,135.25,70.2
MANEESH PHARMACEUTICALS LIMITED,472,2,20,63,8,282,2341828506.834241,MUMBAI MAHARASHTRA ,"23-24, KALPTARU COURT, DR.C.G.ROAD,CHEMBUR,",23.6,65.4
ALFA BIOMED INDIA PRIVATE LIMITED,4993,2,20,1,17,3524,2309607704.156948,PUNE/MAH. ,"29/2, CITY SQUARE, CTS 1723, OFFICENO. 404, 4TH FLOOR, SHIVAJI NAGAR,",249.65,64.1
