entity,err_d,err_c,winner
TRASTUZUMAB,34.93687849352516,35.61595408595957,D
TRENBOLONE,14.102542918739218,14.06166530747872,C
TRIAMCINOLONE,9.608443065585703,13.841241377819301,D
TRICAINE,1.0643292327660614,1.0674109055001315,D
TRICLABENDAZOLE,0.15779041542454308,0.03027687793034728,C
TRIMCINOLONE,0.2568234994041452,0.19718469752624568,C
TRIMOXAZOLE,25.60150143518763,25.196594550033353,C
TRINBELIMAB,0.8518836249070976,1.3892972504192098,D
TRINMELIMAB,1.4488155635172264,0.9924620959162425,C
TROPIN,0.9814545674241688,2.2354214007204645,D
UDENAFIL,1.6536449343766702,1.7621293759985779,D
ULINASTATIN,0.4548997749896113,1.287500035760825,D
ULTRAZOLE,1.6501933774458983,1.2700525410165662,C
UPADACITINIB,5.897337792224489,5.788428592478992,C
UROFOLLITROPIN,6.466770159036072,5.88273505520721,C
USTEKINUMAB,4.299908429004946,2.700004715015064,C
VACLOVIR,1.0338941172326512,1.7392895939900639,D
VAGIMYCIN,0.8932291313518961,1.1936327789877184,D
VALACICLOVIR,9.634431257115665,5.533980376532742,C
VALACVIR,0.327635331601531,0.15735225785432894,C
VALACYCLOVIR,12.279773322335746,12.290890298926236,D
VALASARTAN,0.30506900428768535,0.6465015853905502,D
VALCIVIR,18.522074394629655,17.90459693468351,C
VALCLOVIR,6.00212960274839,7.287705886030711,D
VALCYCLOVIR,0.3524351075908722,0.4875624038973251,D
VALGANCICLOVIR,1.4513456725202332,0.17780121118585512,C
VALPARIN,11.14090902727872,10.456527140351117,C
VALPROATE,13.600774951390619,10.607796928389774,C
VALSARTAN,6.356687476212841,2.616624225854139,C
VANCOMYCIN,0.31121491194500095,4.785394907323322,D
VARDENAFIL,97.20153096157594,94.46551198849528,C
VEDAFIL,2.3395784252080345,1.7369510153716532,C
VEDOLIZUMAB,6.508595609428477,5.354545209283726,C
VELPATASVIR,4.110989923601786,4.972648011454635,D
VENLAFAXINE,42.6170036585757,39.54367829326358,C
VERDENAFIL,1.9276092466082204,5.931851235476763,D
VERDINAFIL,1.8140743003499225,4.165856977846918,D
VESIMYCIN,3.5730038200393786,3.270201206726564,C
VIDAGLIPTIN,1.7648583412096697,0.8486086394340653,C
VIDALISTA,3.231150815118781,4.648350460148663,D
VILDAGLIPTIN,17.508320142127772,17.022150300153804,C
VIROVIR,0.06638401946851857,1.1881364596298303,D
VONAVIR,0.4327588445801762,1.0344871302258607,D
VORICONAZOLE,0.22154355505139733,1.5692817466547524,D
WARFARIN,16.33692553109531,15.350233684502562,C
WITHCYPROHEPTADINE,1.228610148498794,1.470434599534676,D
WORMAZOLE,0.5292020667984589,1.0969988242455657,D
WYSOLONE,7.693520298416139,6.838125448784098,C
XYLOCAINE,9.17239691316813,7.5858067248072185,C
YASHICLOVIR,0.06805115780107497,0.0,C
YASHIDAZOLE,0.7728483416770318,2.2243027936124924,D
ZIDOLAM,3.0743677058869876,2.6852580675799214,C
ZIMYCIN,0.08433833993179607,0.10992822103842845,D
ZIOMYCIN,0.12800072720274525,0.5350236709947698,D
ZOFENOPRIL,0.8710844091188017,0.5876553285426778,C
ZOLPIDEM,9.475620008764839,7.892194442387847,C
ZOVICLOVIR,4.451932299151707,2.7539391749022766,C
ZUTINIB,0.29069057956479305,0.41978943145519565,D
